Feature Indices,"[2, 4, 31, 56]",,
Label Index,54,,
Iterations/Feature set,2,,
Number of combinations,99,,
Rounding Base,30,,
Alpha Values,"[0.001, 0.01, 0.05, 0.1, 0.5, 1, 5, 10, 50, 100, 500]",,
Hidden Layer Comps,"[(20, 10, 5), (20, 10), (50, 25), (100, 50), (500, 100), (20,), (50,), (100,), (500,)]",,
Time to Run (Sec),18723.81838,,
CSV Input File Name,On_Time_On_Time_Performance_2015_7.csv,,
Valid Data,197912,,
Alpha Value,Hidden Layer Comp,Accuracy (%),Time/Loop (seconds)
0.1,"(500, 100)",77.74566474,225.343806
0.001,"(500,)",77.61429322,121.5202129
0.001,"(500, 100)",77.59004002,222.2424445
0.05,"(50, 25)",77.37479284,57.75230813
0.01,"(500,)",77.31921258,129.9724311
0.05,"(100, 50)",77.31719148,98.35885727
0.5,"(20, 10)",77.30708598,29.8753196
0.5,"(100, 50)",77.29091718,62.7373122
0.05,"(500,)",77.21310481,137.5742942
0.5,"(20, 10, 5)",77.15651401,31.67483544
0.05,"(20, 10, 5)",77.06253284,32.70206702
0.01,"(50, 25)",76.89377097,40.71998823
0.05,"(500, 100)",76.88467602,236.6942738
0.05,"(20, 10)",76.79675816,19.48522055
0.1,"(20, 10)",76.7795788,18.72305608
10,"(50, 25)",76.743199,79.38108492
5,"(20, 10, 5)",76.70075589,50.25277221
0.5,"(500, 100)",76.67043939,184.3576461
0.01,"(500, 100)",76.62193298,187.1563057
0.1,"(20, 10, 5)",76.54614172,21.5744822
10,"(100, 50)",76.52289907,192.7300998
50,"(20, 10, 5)",76.34706334,105.9867188
5,"(20, 10)",76.32685234,57.95076394
10,"(20, 10, 5)",76.29350418,70.58854985
0.5,"(500,)",76.10352076,120.9236145
0.1,"(500,)",76.0600671,111.5333949
50,"(50, 25)",76.05703545,111.9036773
1,"(100, 50)",75.97821254,46.71282816
10,"(20, 10)",75.91454788,74.77767897
0.001,"(20, 10)",75.90242128,29.05013454
0.1,"(50, 25)",75.85290432,39.71518064
10,"(50,)",75.83875662,89.56345201
10,"(500, 100)",75.83572497,247.82713
10,"(100,)",75.61037229,147.251659
50,"(100, 50)",75.55479203,139.8485587
5,"(100, 50)",75.52952828,114.0858546
1,"(20, 10, 5)",75.52750717,28.25968945
100,"(20,)",75.41836776,77.50513363
100,"(100, 50)",75.33550265,196.2773296
50,"(500,)",75.3284288,255.3201178
50,"(100,)",75.24455313,151.1903683
50,"(500, 100)",75.17482517,353.6932336
10,"(20,)",75.11419217,90.37226963
50,"(20, 10)",75.11116052,78.63678181
0.001,"(100, 50)",74.94745139,68.58525574
100,"(20, 10)",74.93027204,80.38294518
50,"(20,)",74.91915599,89.00028431
1,"(20, 10)",74.85650188,30.68998694
100,"(50, 25)",74.74837301,86.89983308
5,"(500, 100)",74.69481386,209.3369628
0.01,"(20, 10)",74.62003315,21.97468472
100,"(50,)",74.55535794,87.78818882
1,"(500, 100)",74.50078823,151.1316109
5,"(500,)",74.47552448,255.2179658
0.1,"(100, 50)",74.36234286,62.40162122
100,"(20, 10, 5)",74.34011076,82.02011049
1,"(500,)",74.2845305,143.7138957
50,"(50,)",74.19155989,92.37243414
0.01,"(100, 50)",73.90153199,82.24190354
5,"(50, 25)",73.84797284,67.86153615
0.1,"(50,)",73.54581834,32.3864249
100,"(100,)",73.53470229,126.6576171
10,"(500,)",73.53268119,270.3034172
1,"(50, 25)",73.30732851,34.67261398
5,"(50,)",73.09208133,81.27618682
0.5,"(100,)",73.05469097,68.9257549
100,"(500,)",73.03144832,173.3076717
100,"(500, 100)",72.84146489,312.9374511
500,"(20,)",72.77881078,55.82094729
0.5,"(50, 25)",72.65451312,30.08691788
0.001,"(50, 25)",72.52415215,32.26098621
500,"(100,)",72.41501273,94.66735816
0.1,"(100,)",72.24119811,76.35364127
0.05,"(20,)",72.03807753,26.77468228
0.01,"(50,)",72.01685598,35.84945297
500,"(50,)",72.01483488,59.98607552
0.001,"(100,)",71.93399086,108.4212027
500,"(500,)",71.87335786,177.542364
0.01,"(100,)",71.8359675,98.01761091
0.5,"(20,)",71.44185294,23.49309683
0.1,"(20,)",70.73446784,20.92516112
0.01,"(20,)",70.65362383,24.37520421
0.001,"(50,)",70.57480092,24.87137389
1,"(20,)",70.52730506,33.33980787
0.001,"(20,)",69.60770443,22.16251791
500,"(100, 50)",69.40862606,100.2716527
0.05,"(100,)",69.15699907,62.31850648
0.05,"(50,)",68.95792069,21.67143011
500,"(20, 10)",66.8984195,38.15803826
0.5,"(50,)",66.34665912,16.14275491
500,"(500, 100)",66.33049032,245.767858
1,"(50,)",65.67363273,16.37947488
5,"(100,)",65.24111726,82.97147834
500,"(50, 25)",64.94603662,45.35366726
1,"(100,)",64.58223857,42.46690691
5,"(20,)",61.71833946,19.45850754
500,"(20, 10, 5)",55.69445006,37.97859502
0.01,"(20, 10, 5)",48.2709487,36.78981602
0.001,"(20, 10, 5)",47.74445208,12.23634756
