Feature Indices,"[2, 4, 31, 56]"
Label Index,54
Iterations/Feature set,2
Number of combinations,35
Rounding Base,20
Alpha Values,"[0.005, 0.01, 0.05, 0.1, 0.5, 1, 10]"
Hidden Layer Comps,"[(500, 100), (1000,), (1000, 100), (1000, 200), 2000]"
Time to Run (Sec),44267.65450048447
CSV Input File Name,On_Time_On_Time_Performance_2015_7.csv
Valid Data,296522
Alpha Value,Hidden Layer Comp,Accuracy (%),Time/Loop (seconds)
0.005,"(500, 100)",70.1211369063,344.8353410959244
0.1,"(500, 100)",69.9619592343,395.5178201198578
0.01,"(1000, 200)",69.68811968,1123.8848079442978
0.01,2000,69.6591169686,478.6810381412506
0.1,2000,69.5147778932,594.8494175672531
0.5,"(500, 100)",69.4365380205,271.0476711988449
0.005,"(1000, 100)",69.4345145755,542.2064579725266
0.5,"(1000,)",69.379881561,356.29675328731537
0.005,"(1000, 200)",69.3259230282,655.0785851478577
0.5,"(1000, 200)",69.304339615,544.1544873714447
1,"(1000, 200)",69.2773603486,588.5267683267593
0.1,"(1000, 200)",69.2476831555,1077.5266960859299
0.05,2000,69.1370681631,522.7635073661804
1,"(1000,)",69.1215550849,1000.0114181041718
0.01,"(500, 100)",69.0588282905,364.9590767621994
0.05,"(1000,)",69.0116145742,321.563925743103
0.01,"(1000, 100)",68.9610284496,756.8238928318024
0.1,"(1000,)",68.954283633,311.44232285022736
0.005,2000,68.9313512566,512.2297720909119
1,"(500, 100)",68.7876866628,368.07392156124115
0.5,"(1000, 100)",68.7762204746,375.9012657403946
0.05,"(1000, 200)",68.6716758171,934.8466001749039
10,"(1000, 200)",68.6683034088,1344.8441548347473
0.5,2000,68.6345793258,596.9267529249191
0.05,"(500, 100)",68.5421753383,326.2506672143936
0.1,"(1000, 100)",68.3991852262,487.1017978191376
1,2000,68.3459011749,1422.7130924463272
0.01,"(1000,)",68.3317370601,329.09198224544525
0.005,"(1000,)",68.1597442366,313.9932520389557
10,2000,68.0052879362,1540.4530429840088
0.05,"(1000, 100)",67.6296016511,555.6654975414276
10,"(1000, 100)",67.5088694338,848.2993294000626
10,"(500, 100)",67.446817121,598.9585409164429
1,"(1000, 100)",66.8930676775,519.0467065572739
10,"(1000,)",66.7736844235,800.8298423290253
