City,Airport,Lat,Lon
"Atlanta, GA",ATL,33.63667,-84.428056
"Los Angeles, CA",LAX,33.9425,-118.408056
"Chicago, IL",ORD,41.978611,-87.904722
"Dallas, TX",DFW,32.896944,-97.038056
"New York, NY",JFK,40.639722,-73.77889
"Denver, CO",DEN,39.861667,-104.673056
"San Francisco, CA",SFO,37.618889,-122.375
"Charlotte, NC",CLT,35.213889,-80.943056
"Las Vegas, NV",LAS,36.08,-115.152222
"Phoenix, AZ",PHX,33.434167,-112.011667
"Miami, FL",MIA,25.793333,-80.290556
"Houston, TX",IAH,29.984444,-95.341389
"Seattle, WA",SEA,47.448889,-122.309444
"Orlando, FL",MCO,28.429444,-81.30889
"Newark, NJ",EWR,40.6925,-74.168611
"Minneapolis, MN",MSP,44.881944,-93.221667
"Boston, MA",BOS,42.363056,-71.006389
"Detroit, MI",DTW,42.2125,-83.353333
"Philadelphia, PA",PHL,39.871944,-75.24111
"New York, NY",LGA,40.77725,-73.872611
"Fort Lauderdale, FL",FLL,26.0725,-80.152778
"Baltimore, MD",BWI,39.175278,-76.668333
"Washington, D.C.",DCA,38.85222,-77.037778
"Salt Lake City, UT",SLC,40.788333,-111.977778
"San Diego, CA",SAN,32.733611,-117.189722
"Honolulu, HI",HNL,21.318611,-157.9225
"Tampa, FL",TPA,27.975556,-82.53333
"Portland, OR",PDX,45.588611,-122.5975
